Player,Nation,Pos,Squad,Comp,Age,SimilarityScore
Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,La Liga,18,21.9201095
Héctor Herrera,MEX,MF,Atlético Madrid,La Liga,30,21.91562192
Gautier Larsonneur,FRA,GK,Brest,Ligue 1,23,21.90883277
Francesco Magnanelli,ITA,MF,Sassuolo,Seria A,35,21.90627938
Alexander Schwolow,GER,GK,Hertha BSC,Bundesliga,28,21.89198441
Christopher Scott,GER,FW,Bayern Munich,Bundesliga,18,21.82601967
Zack Steffen,USA,GK,Manchester City,Premier League,25,21.81783004
Cheick Souaré,FRA,MF,Marseille,Ligue 1,17,21.80785397
David Ospina,COL,GK,Napoli,Seria A,31,21.76985811
Víctor Chust,ESP,DF,Real Madrid,La Liga,20,21.7400805
Giorgi Kochorashvili,GEO,MF,Levante,La Liga,21,21.73571121
Kayne Ramsey,ENG,DF,Southampton,Premier League,19,21.63698768
Ciprian Tătărușanu,ROU,GK,Milan,Seria A,34,21.63233001
Gary Medel,CHI,DFMF,Bologna,Seria A,32,21.60494722
Kevin Rüegg,SUI,DFMF,Hellas Verona,Seria A,21,21.50143377
Bartłomiej Drągowski,POL,GK,Fiorentina,Seria A,22,21.39738808
Alex Meret,ITA,GK,Napoli,Seria A,23,21.38409321
Gianluigi Donnarumma,ITA,GK,Milan,Seria A,21,21.333469
Steve Mandanda,FRA,GK,Marseille,Ligue 1,35,21.32661123
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,25,21.2198883
Joel Robles,ESP,GK,Betis,La Liga,30,21.18287496
Lauti,URU,MFFW,Celta Vigo,La Liga,19,21.1662401
João Virgínia,POR,GK,Everton,Premier League,20,21.1463907
Benoît Badiashile,FRA,DF,Monaco,Ligue 1,19,21.14189515
Alphonse Areola,FRA,GK,Fulham,Premier League,27,21.13368209
Nico Williams,ESP,MF,Athletic Club,La Liga,18,21.10790978
Kenny Tete,NED,DF,Lyon,Ligue 1,24,20.98943109
Ji Dong-won,KOR,FWDF,Mainz 05,Bundesliga,29,20.97556264
Yassin Fortune,FRA,FW,Angers,Ligue 1,21,20.90030531
Martin Ødegaard,NOR,MFFW,Real Madrid,La Liga,21,20.88752121
Wojciech Szczęsny,POL,GK,Juventus,Seria A,30,20.82821336
Wes Morgan,JAM,DF,Leicester City,Premier League,36,20.82575103
Sergi Gómez,ESP,DF,Sevilla,La Liga,28,20.79601336
Rocco Reitz,GER,MF,M'Gladbach,Bundesliga,18,20.7814725
Sebastian Rudy,GER,DF,Schalke 04,Bundesliga,30,20.74668966
Andrés Fernández,ESP,GK,Huesca,La Liga,33,20.73454472
Fraser Forster,ENG,GK,Southampton,Premier League,32,20.72546626
Edouard Mendy,SEN,GK,Rennes,Ligue 1,28,20.70095335
Gerard Piqué,ESP,DF,Barcelona,La Liga,33,20.6651281
Fernando Pacheco,ESP,GK,Alavés,La Liga,28,20.64283208
Lee Peltier,ENG,DF,West Brom,Premier League,33,20.57319281
Alessio Cragno,ITA,GK,Cagliari,Seria A,26,20.53470695
Benoît Costil,FRA,GK,Bordeaux,Ligue 1,33,20.50696383
Jasper Cillessen,NED,GK,Valencia,La Liga,31,20.50691225
Marc Roca,ESP,MF,Bayern Munich,Bundesliga,23,20.46514286
Michael Langer,AUT,GK,Schalke 04,Bundesliga,35,20.46402261
Amad Diallo,CIV,MF,Atalanta,Seria A,18,20.42334827
Jean-Louis Leca,FRA,GK,Lens,Ligue 1,34,20.40127325
Lorenzo Del Pinto,ITA,MF,Benevento,Seria A,30,20.39026065
Yehvann Diouf,FRA,GK,Reims,Ligue 1,20,20.33113281
Simone Scuffet,ITA,GK,Udinese,Seria A,24,20.26141649
Daniel Maldini,ITA,FWMF,Milan,Seria A,18,20.26133497
Robin Olsen,SWE,GK,Everton,Premier League,30,20.26056622
Lilian Egloff,GER,MF,Stuttgart,Bundesliga,17,20.21678309
Xabier Etxeita,ESP,DF,Getafe,La Liga,32,20.16828011
Alex McCarthy,ENG,GK,Southampton,Premier League,30,20.1114977
Eliaquim Mangala,FRA,DF,Valencia,La Liga,29,20.09186963
Jiří Pavlenka,CZE,GK,Werder Bremen,Bundesliga,28,20.07102716
Omar Khailoti,ITA,DF,Bologna,Seria A,18,20.02565911
Joshua Zirkzee,NED,FW,Bayern Munich,Bundesliga,19,20.01152396
Christian Fuchs,AUT,DF,Leicester City,Premier League,34,19.99789878
Aleksandar Kolarov,SRB,DF,Inter,Seria A,34,19.99280345
Asier Illarramendi,ESP,MF,Real Sociedad,La Liga,30,19.9590205
Jony Álamo,ESP,MF,Elche,La Liga,18,19.95818655
Vedad Ibišević,BIH,FW,Schalke 04,Bundesliga,35,19.90813837
Joshua Mees,GER,FW,Union Berlin,Bundesliga,24,19.84120947
Robin Zentner,GER,GK,Mainz 05,Bundesliga,25,19.80354684
Ludovic Baal,GUF,DFMF,Brest,Ligue 1,34,19.76442933
Boubacar Traoré,MLI,MF,Metz,Ligue 1,18,19.74859004
Rhys Williams,ENG,DF,Liverpool,Premier League,19,19.70149067
Jordan Henderson,ENG,MFDF,Liverpool,Premier League,30,19.69489306
Guglielmo Vicario,ITA,GK,Cagliari,Seria A,23,19.5547907
Toni Kroos,GER,MF,Real Madrid,La Liga,30,19.51038204
Dean Henderson,ENG,GK,Manchester Utd,Premier League,23,19.50347771
Riccardo Saponara,ITA,FWMF,Fiorentina,Seria A,28,19.48094014
Liam Delap,ENG,FW,Manchester City,Premier League,17,19.46620833
Loris Karius,GER,GK,Union Berlin,Bundesliga,27,19.43877049
Matz Sels,BEL,GK,Strasbourg,Ligue 1,28,19.41694843
Radja Nainggolan,BEL,MF,Cagliari,Seria A,32,19.39699882
Álex Remiro,ESP,GK,Real Sociedad,La Liga,25,19.28814523
Mato Jajalo,BIH,MF,Udinese,Seria A,32,19.28264313
Jonas Omlin,SUI,GK,Montpellier,Ligue 1,26,19.22783276
Cheick Traoré,MLI,DF,Lens,Ligue 1,25,19.22134131
Kingsley Fobi,GHA,DF,Granada,La Liga,21,19.21180965
Saturnin Allagbé,BEN,GK,Dijon,Ligue 1,26,19.18517525
Arthur Melo,BRA,MF,Juventus,Seria A,23,19.18327648
Alban Lafont,FRA,GK,Nantes,Ligue 1,21,19.16117208
Marek Rodák,SVK,GK,Fulham,Premier League,23,19.14771679
Abdoulay Diaby,MLI,MF,Getafe,La Liga,29,19.13280208
Simone Colombi,ITA,GK,Parma,Seria A,29,19.08493774
Paulo Gazzaniga,ARG,GK,Elche,La Liga,28,19.0794266
Yann M'Vila,FRA,MF,Saint-Étienne,Ligue 1,30,19.04685491
Anthony Lopes,POR,GK,Lyon,Ligue 1,29,19.04435597
Ajdin Hrustic,AUS,MFFW,Eint Frankfurt,Bundesliga,24,19.03903348
Emrehan Gedikli,GER,FW,Leverkusen,Bundesliga,17,19.00637309
Patrick Cutrone,ITA,FWMF,Fiorentina,Seria A,22,18.97753213
Alisson,BRA,GK,Liverpool,Premier League,27,18.92333998
Claudio Bravo,CHI,GK,Betis,La Liga,37,18.87249603
Jaume Doménech,ESP,GK,Valencia,La Liga,29,18.82832206
Koke Vegas,ESP,GK,Levante,La Liga,24,18.81618573
Łukasz Fabiański,POL,GK,West Ham,Premier League,35,18.7914438
Igor,BRA,DF,Fiorentina,Seria A,22,18.77931113
Willy Caballero,ARG,GK,Chelsea,Premier League,38,18.65911975
Pepe,ESP,DF,Granada,La Liga,20,18.65269519
Sergi Roberto,ESP,DFMF,Barcelona,La Liga,28,18.63440899
Amadou Diambo,GHA,FW,Benevento,Seria A,19,18.54439676
Abdoulaye Sidibé,FRA,MF,Saint-Étienne,Ligue 1,18,18.54104285
Yassine Bounou,MAR,GK,Sevilla,La Liga,29,18.53774739
Bouna Sarr,SEN,DF,Marseille,Ligue 1,28,18.51822474
Mathew Ryan,AUS,GK,Arsenal,Premier League,28,18.51661703
Xherdan Shaqiri,SUI,MFFW,Liverpool,Premier League,28,18.50890846
Sergio Rico,ESP,GK,Paris S-G,Ligue 1,26,18.50563394
Pierluigi Gollini,ITA,GK,Atalanta,Seria A,25,18.42134348
Etienne Green,FRA,GK,Saint-Étienne,Ligue 1,20,18.41512579
Paul Bernardoni,FRA,GK,Angers,Ligue 1,23,18.3821386
Henning Matriciani,GER,DF,Schalke 04,Bundesliga,20,18.31945336
Sam Johnstone,ENG,GK,West Brom,Premier League,27,18.31488018
Marc-Aurèle Caillard,FRA,GK,Metz,Ligue 1,26,18.30989289
Paul Nardi,FRA,GK,Lorient,Ligue 1,26,18.25530476
Léo Duarte,BRA,DF,Milan,Seria A,24,18.14792794
Federico Peluso,ITA,DF,Sassuolo,Seria A,36,18.03652704
Mitchell Weiser,GER,DF,Leverkusen,Bundesliga,26,18.02657199
Nianzou Kouassi,FRA,DFMF,Bayern Munich,Bundesliga,18,17.94920171
Juan Musso,ARG,GK,Udinese,Seria A,26,17.76776362
Federico Bonazzoli,ITA,FW,Torino,Seria A,23,17.74965106
David de Gea,ESP,GK,Manchester Utd,Premier League,29,17.73280241
Jordi Masip,ESP,GK,Valladolid,La Liga,31,17.68576004
Mattia Pagliuca,ITA,MF,Bologna,Seria A,18,17.62390092
Juan Pérez,ESP,GK,Osasuna,La Liga,24,17.56571284
Jokin Ezkieta,ESP,GK,Athletic Club,La Liga,23,17.49780791
Javier Pastore,ARG,FWMF,Roma,Seria A,31,17.48924979
Cheikh Tidiane Sabaly,SEN,MF,Metz,Ligue 1,21,17.31165923
Rubén Yáñez,ESP,GK,Getafe,La Liga,26,17.21949686
Vicente Guaita,ESP,GK,Crystal Palace,Premier League,33,17.17199024
Unai Simón,ESP,GK,Athletic Club,La Liga,23,17.1593578
Eiji Kawashima,JPN,GK,Strasbourg,Ligue 1,37,17.1529741
Joel Pohjanpalo,FIN,MF,Leverkusen,Bundesliga,25,17.05567108
Mike Maignan,FRA,GK,Lille,Ligue 1,25,17.03167171
Anthony Racioppi,SUI,GK,Dijon,Ligue 1,21,17.01540384
Daniele Padelli,ITA,GK,Inter,Seria A,34,17.0026404
Anthony Modeste,FRA,FW,Saint-Étienne,Ligue 1,32,16.93212053
Kenan Kodro,BIH,FWMF,Valladolid,La Liga,26,16.91678389
Yohann Pelé,FRA,GK,Marseille,Ligue 1,37,16.8389412
John Ruddy,ENG,GK,Wolves,Premier League,33,16.83533382
Alexandre Oukidja,ALG,GK,Metz,Ligue 1,32,16.79404889
Chaka Traorè,CIV,FWMF,Parma,Seria A,15,16.78652934
Nathan Aké,NED,DF,Manchester City,Premier League,25,16.6081245
Aarón Escandell,ESP,GK,Granada,La Liga,24,16.59687236
Nícolas Andrade,BRA,GK,Udinese,Seria A,32,16.47066563
Aleksandar Dragović,AUT,DF,Leverkusen,Bundesliga,29,16.44160724
Unai Arietaleanizbeaskoa,ESP,FWMF,Eibar,La Liga,21,16.40568201
Matthieu Dreyer,FRA,GK,Lorient,Ligue 1,31,16.37476697
Keylor Navas,CRC,GK,Paris S-G,Ligue 1,33,16.28223187
Pietro Terracciano,ITA,GK,Fiorentina,Seria A,30,16.25260243
Nick Pope,ENG,GK,Burnley,Premier League,28,16.21881178
Hugo Lloris,FRA,GK,Tottenham,Premier League,33,16.14293113
Clément Depres,FRA,MF,Nîmes,Ligue 1,25,16.08165993
Roberto,ESP,GK,Valladolid,La Liga,34,15.76573322
Félix Correia,POR,MF,Juventus,Seria A,19,15.76328591
Ivor Pandur,CRO,GK,Hellas Verona,Seria A,20,15.70254037
Ángel,ESP,GK,Granada,La Liga,18,15.56842652
Rui Silva,POR,GK,Granada,La Liga,26,15.42168304
Ansou Sow,FRA,MF,Lens,Ligue 1,20,15.36099185
Wuilker Faríñez,VEN,GK,Lens,Ligue 1,22,15.35341354
Gianluca Pegolo,ITA,GK,Sassuolo,Seria A,39,15.33027873
Mateo Kovačić,CRO,MF,Chelsea,Premier League,26,15.14710789
Javi Martínez,ESP,DFMF,Bayern Munich,Bundesliga,31,15.11712128
Theo Walcott,ENG,FW,Everton,Premier League,31,15.1132419
Sofian Chakla,MAR,DF,Getafe,La Liga,26,15.08136895
David Soria,ESP,GK,Getafe,La Liga,27,15.04491716
Karl Darlow,ENG,GK,Newcastle Utd,Premier League,29,14.9234527
Álvaro Bastida,ESP,MF,Cádiz,La Liga,16,14.78398977
Rui Patrício,POR,GK,Wolves,Premier League,32,14.71027025
David Button,ENG,GK,West Brom,Premier League,31,14.65855813
Tin Jedvaj,CRO,DF,Leverkusen,Bundesliga,24,14.5771184
Danilo Barbosa,BRA,DF,Nice,Ligue 1,24,14.54221686
Bryan,ESP,FW,Sevilla,La Liga,19,14.51759421
Marko Dmitrović,SRB,GK,Eibar,La Liga,28,14.46708411
Bailey Peacock-Farrell,NIR,GK,Burnley,Premier League,23,14.40109989
Moïse Sakava,CMR,MF,Reims,Ligue 1,19,14.39831076
Alberto Cifuentes,ESP,GK,Cádiz,La Liga,41,14.38346129
Oskar Buur,DEN,DF,Wolves,Premier League,22,14.36769476
Shola Shoretire,ENG,FW,Manchester Utd,Premier League,16,14.29258083
Eduard Löwen,GER,MFDF,Hertha BSC,Bundesliga,23,14.28386966
Darío Poveda,ESP,FW,Getafe,La Liga,23,14.15268379
Giulian Biancone,FRA,DFMF,Monaco,Ligue 1,20,14.12522547
Andy Diouf,FRA,FW,Rennes,Ligue 1,18,14.00138548
Wesley Moraes,BRA,MFFW,Aston Villa,Premier League,23,13.9513992
Jan Oblak,SVN,GK,Atlético Madrid,La Liga,27,13.91749539
Antonio Mazzotta,ITA,DF,Crotone,Seria A,30,13.8380107
Will Norris,ENG,GK,Burnley,Premier League,26,13.78267459
Mattia Sprocati,ITA,FW,Parma,Seria A,27,13.78073475
Rodri,ESP,MF,Manchester City,Premier League,24,13.76591103
Martin Palumbo,NOR,MF,Udinese,Seria A,18,13.73928994
Mohamed Sankoh,NED,FW,Stuttgart,Bundesliga,16,13.71562134
Arne Maier,GER,MF,Hertha BSC,Bundesliga,21,13.60528951
Marco Silvestri,ITA,GK,Hellas Verona,Seria A,29,13.56562605
Adama Soumaoro,FRA,DF,Lille,Ligue 1,28,13.45890745
Jonas Michel Dirkner,GER,MF,Hertha BSC,Bundesliga,18,13.33534919
Barcia,ESP,DF,Granada,La Liga,19,13.29074559
Blanco,ESP,MFDF,Real Madrid,La Liga,20,12.67447338
Arturo Calabresi,ITA,DF,Bologna,Seria A,24,12.57032254
Scott Carson,ENG,GK,Manchester City,Premier League,34,12.53112268
Samuel Umtiti,FRA,DF,Barcelona,La Liga,26,12.44572084
Nicola Zalewski,POL,MF,Roma,Seria A,18,12.39804968
Rayan Souici,FRA,DF,Saint-Étienne,Ligue 1,22,12.17738503
Aaron Ramsdale,ENG,GK,Sheffield Utd,Premier League,22,12.11171295
Hannibal Mejbri,TUN,MF,Manchester Utd,Premier League,17,12.02408455
Fernando Marçal,BRA,DF,Lyon,Ligue 1,31,11.93675682
Tony Jantschke,GER,DF,M'Gladbach,Bundesliga,30,11.87348072
Alessandro Berardi,ITA,GK,Hellas Verona,Seria A,29,11.8492042
Abdoulaye Sylla,GUI,DF,Nantes,Ligue 1,20,11.84240418
Darren Randolph,IRL,GK,West Ham,Premier League,33,11.73598355
Tyrese Francois,AUS,DF,Fulham,Premier League,20,11.64508107
Antonio Sivera,ESP,GK,Alavés,La Liga,23,11.55524775
Eñaut Mendía,ESP,FW,Eibar,La Liga,21,11.53771369
Bamba Dieng,SEN,FWDF,Marseille,Ligue 1,20,11.5138994
Edmond Tapsoba,BFA,DF,Leverkusen,Bundesliga,21,11.41066769
Wilfried Kanga,FRA,FW,Angers,Ligue 1,22,11.39049712
Jean-Kévin Augustin,FRA,FW,Nantes,Ligue 1,23,11.35847192
Antonio Palumbo,ITA,MF,Sampdoria,Seria A,23,11.35621793
Maxime Lopez,FRA,MF,Sassuolo,Seria A,22,11.27883623
Kays Ruiz,MAR,FWMF,Paris S-G,Ligue 1,17,10.89690746
Hugo Duro,ESP,FW,Real Madrid,La Liga,20,10.81850472
Steven Nzonzi,FRA,MF,Rennes,Ligue 1,31,10.77783123
Jeremías Ledesma,ARG,GK,Cádiz,La Liga,27,10.74758939
Antwoine Hackford,ENG,FWDF,Sheffield Utd,Premier League,16,10.65170119
Arturo Calabresi,ITA,DF,Cagliari,Seria A,24,10.32702916
Jérémy Pied,FRA,DF,Lille,Ligue 1,31,10.21481915
Siriki Sanogo,CIV,MF,Benevento,Seria A,18,10.02354919
Waniss Taibi,FRA,MF,Angers,Ligue 1,18,9.592800619
Aymeric Laporte,ESP,DF,Manchester City,Premier League,26,9.323795845
Eric García,ESP,DF,Manchester City,Premier League,19,9.159447932
Roli Pereira de Sa,FRA,MFFW,Nantes,Ligue 1,23,9.107779211
Ryder Matos,BRA,MF,Udinese,Seria A,27,8.9876838
Kristoffer Askildsen,NOR,MF,Sampdoria,Seria A,19,8.880718835
Sergio Busquets,ESP,MF,Barcelona,La Liga,32,8.684853392
Juan Jesus,BRA,DF,Roma,Seria A,29,8.316956857
David Gil,ESP,GK,Cádiz,La Liga,26,8.307283823
Idrissa Gana Gueye,SEN,MF,Paris S-G,Ligue 1,30,8.245396846
Timothy Fosu-Mensah,NED,DF,Manchester Utd,Premier League,22,8.191040742
Khanya Leshabela,RSA,MF,Leicester City,Premier League,20,8.014991982
Marc Baró,ESP,DF,Cádiz,La Liga,20,7.474062015
Levent Mercan,GER,FW,Schalke 04,Bundesliga,19,7.372996918
Dennis Borkowski,GER,MFFW,RB Leipzig,Bundesliga,18,6.738852141
Joe Gomez,ENG,DF,Liverpool,Premier League,23,6.603224895
Kostas Tsimikas,GRE,DFFW,Liverpool,Premier League,24,6.443804588
Kacper Urbanski,POL,MF,Bologna,Seria A,15,6.197485641
Nicolás Schiappacasse,URU,MF,Sassuolo,Seria A,21,6.123689357
Dani Plomer,ESP,FW,Granada,La Liga,21,5.784493315
Lucas Buadés,FRA,MF,Nîmes,Ligue 1,22,5.098370931
Felipe Anderson,BRA,FWMF,West Ham,Premier League,27,4.558019195
Evann Guessand,FRA,FW,Nice,Ligue 1,19,4.546770615
Carles Aleñá,ESP,MF,Barcelona,La Liga,22,4.067202689
Marcin Kamiński,POL,DF,Stuttgart,Bundesliga,28,4.048044314
Yanis Lhery,FRA,MFFW,Saint-Étienne,Ligue 1,17,3.751048317
Christopher Rocchia,FRA,DF,Marseille,Ligue 1,22,3.735303979
Alexandre Jankewitz,SUI,MF,Southampton,Premier League,18,3.613425727
Leandro Paredes,ARG,MF,Paris S-G,Ligue 1,26,3.572164807
Jimmy Kaparos,GER,MF,Schalke 04,Bundesliga,18,3.243802782
Chris Richards,USA,DF,Bayern Munich,Bundesliga,20,2.269300115
Patrick Erras,GER,MFFW,Werder Bremen,Bundesliga,25,1.925032756
Cristóbal Montiel,ESP,DFFW,Fiorentina,Seria A,20,1.726851582
Federico Ricci,ITA,FW,Sassuolo,Seria A,26,1.098221957
Jack Butland,ENG,GK,Crystal Palace,Premier League,27,0.3025075541
Andrea Conti,ITA,DF,Milan,Seria A,26,0.1926440587
Tomislav Gomelt,CRO,MF,Crotone,Seria A,25,-0.1466509675
Wisdom Amey,ITA,DF,Bologna,Seria A,14,-0.1521487538
Xavi Simons,NED,MF,Paris S-G,Ligue 1,17,-0.2445295266
Viktor Kovalenko,UKR,FW,Atalanta,Seria A,24,-0.2854012307
Martin Kelly,ENG,DF,Crystal Palace,Premier League,30,-1.205541844
Giacomo Vrioni,ALB,MF,Juventus,Seria A,21,-1.233481122
Jaden Philogene Bidace,ENG,FW,Aston Villa,Premier League,18,-1.255921802
Lukas Petkov,GER,MF,Augsburg,Bundesliga,19,-1.578352517
Isaac Karamoko,FRA,DF,Sassuolo,Seria A,18,-1.578352517
Nathan Broadhead,WAL,MF,Everton,Premier League,22,-1.698808253
Federico Mattiello,ITA,DF,Spezia,Seria A,25,-1.978731606
Yaya Soumaré,FRA,FW,Lyon,Ligue 1,20,-1.99687103
Manuel Gasparini,ITA,GK,Udinese,Seria A,18,-2.220162884
Elliot Anderson,SCO,MF,Newcastle Utd,Premier League,17,-2.506398337
Radu Drăgușin,ROU,DF,Juventus,Seria A,18,-2.506398337
Manu Emmanuel Gyabuaa,ITA,MF,Atalanta,Seria A,18,-2.506398337
Kenny Nagera,FRA,FW,Paris S-G,Ligue 1,18,-2.92736128
Florent da Silva,FRA,FW,Lyon,Ligue 1,17,-3.023112455
Assane Dioussé,SEN,DF,Saint-Étienne,Ligue 1,22,-3.023112455
Malo Gusto,FRA,DFMF,Lyon,Ligue 1,17,-3.445452776
Matondo-Merveille Papela,GER,DF,Mainz 05,Bundesliga,19,-3.445452776
Vasileios Pavlidis,GRE,FW,Schalke 04,Bundesliga,17,-3.445452776
Omar Marmoush,EGY,FW,Wolfsburg,Bundesliga,21,-3.445452776
Shkodran Mustafi,GER,DF,Arsenal,Premier League,28,-4.695184703
Salim Ben Seghir,FRA,DF,Nice,Ligue 1,17,-4.698616992
Racine Coly,SEN,DF,Nice,Ligue 1,24,-5.529909031
Iñigo Vicente,ESP,FWMF,Athletic Club,La Liga,22,-6.96438052
Ante Palaversa,CRO,MF,Getafe,La Liga,20,-8.449396955
Miralem Pjanić,BIH,MF,Barcelona,La Liga,30,-10.5753544
Riqui Puig,ESP,MF,Barcelona,La Liga,20,-10.92759305
Raúl Moro,ESP,MF,Lazio,Seria A,17,-11.61434361
Thomas Partey,GHA,MF,Atlético Madrid,La Liga,27,-12.90783941
Marco Verratti,ITA,MF,Paris S-G,Ligue 1,27,-14.01149328
Kiril Despodov,BUL,FW,Cagliari,Seria A,23,-15.89547748
Andrea Adorante,ITA,FW,Parma,Seria A,20,-15.93861177
Nicolò Fagioli,ITA,MF,Juventus,Seria A,19,-19.34421519
Allan Tchaptchet,FRA,DF,Southampton,Premier League,18,-21.67892874
Philip Ankhrah,GHA,MF,Hellas Verona,Seria A,17,-21.72001356
Reda Khadra,GER,FW,Brighton,Premier League,19,-21.9162077
José Izquierdo,COL,DF,Brighton,Premier League,28,-22.37275718
Lewis Richardson,ENG,FWMF,Burnley,Premier League,17,-26.88089573
Strahinja Pavlović,SRB,DF,Monaco,Ligue 1,19,-27.55846385
William,BRA,FW,Wolfsburg,Bundesliga,25,-27.62508257
Jayson Molumby,IRL,MF,Brighton,Premier League,20,-28.04046899
Marten Winkler,GER,FW,Hertha BSC,Bundesliga,17,-28.04046899
William Thomas Fish,ENG,DF,Manchester Utd,Premier League,17,-28.04046899
Alejandro Millán,ESP,FW,Villarreal,La Liga,20,-28.38053474
Antonio Raimondo,ITA,FW,Bologna,Seria A,16,-28.38053474
Sebastian Müller,GER,MFDF,Arminia,Bundesliga,19,-28.38053474
Antonio Cioffi,ITA,FW,Napoli,Seria A,17,-28.75081242
Charles Costes,FRA,MF,Dijon,Ligue 1,17,-28.75551716
Sergio Benito,ESP,FW,Valladolid,La Liga,21,-28.77250949
Patrick Burner,MTQ,DF,Nice,Ligue 1,24,-28.77648698
Sergio Cubero Ezcurra,ESP,MF,Eibar,La Liga,20,-28.77926891
Ramón Folch,ESP,MF,Elche,La Liga,30,-28.80124883
Femi Seriki,ENG,DF,Sheffield Utd,Premier League,18,-28.80124883
Ilia Gruev,BUL,FW,Werder Bremen,Bundesliga,20,-28.80124883
Dane Scarlett,ENG,FW,Tottenham,Premier League,16,-28.80124883
Edouard Michut,FRA,MF,Paris S-G,Ligue 1,17,-28.80124883
Hugo Sotelo,ESP,MF,Celta Vigo,La Liga,16,-28.80124883
Joshua Brenet,NED,DF,Hoffenheim,Bundesliga,26,-29.895406
Matthis Abline,FRA,FW,Rennes,Ligue 1,17,-30.32076465
Kenny Tete,NED,DF,Fulham,Premier League,24,-33.42601658
Jean-Philippe Gbamin,CIV,MF,Everton,Premier League,24,-40.78072205
Edoardo Bove,ITA,MF,Roma,Seria A,18,-43.96792316
Jon Pacheco,ESP,DF,Real Sociedad,La Liga,19,-54.990992
Alejandro Blesa,ESP,MF,Levante,La Liga,18,-56.75903834
